grid_id,lat,lon,google_maps_link,forest_pct,ndvi,ndmi,health_class,moisture_class_calibrated,ndvi_trend_class,ndmi_trend_class,hansen_loss_pct,fire_count,fire_detected,repeated_fire_count,final_priority,ecological_watch_level,field_verification_required,carbon_engine_version,carbon_engine_run_time,carbon_opportunity_score,carbon_opportunity_class,carbon_zone_class,carbon_reason,carbon_recommendation,field_verification_required,carbon_zone_layman_note,carbon_field_verification_status,carbon_hard_block,carbon_hard_block_reason,carbon_priority_rank,carbon_opportunity_rank,carbon_stock_ton,carbon_stock_co2e_ton,carbon_change_co2e_ton,forest_area_for_carbon_ha,carbon_claim_status
GD-79-43,25.214157413397825,87.53068986408874,"https://www.google.com/maps?q=25.214157413397825,87.53068986408874",97.50693713332994,0.6657197635302411,0.2509399385266529,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,0.0,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,92.5,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 92.5/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5092.5,5092.5,2785.855,10214.802,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-39-30,24.85483294341932,87.40197795075682,"https://www.google.com/maps?q=24.85483294341932,87.40197795075682",96.47949342280128,0.7122680257233663,0.2636805193541973,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,0.0,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,92.5,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 92.5/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5092.5,5092.5,10014.568,36720.083,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-36-27,24.82788360817036,87.37227520152348,"https://www.google.com/maps?q=24.82788360817036,87.37227520152348",86.78242305639569,0.7230704318693448,0.2577601966879091,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,3.32,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,91.8,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 91.8/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5091.8,5091.8,2238.061,8206.223,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-40-31,24.86381605516893,87.41187886716789,"https://www.google.com/maps?q=24.863816055168932,87.41187886716789",97.48683465695392,0.7212179291118099,0.2577575240560047,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,2.57,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,91.8,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 91.8/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5091.8,5091.8,4325.049,15858.512,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-34-27,24.8099173846708,87.37227520152403,"https://www.google.com/maps?q=24.8099173846708,87.37227520152403",98.18352541666088,0.733237799226921,0.2565456600496714,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,2.21,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,91.8,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 91.8/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5091.8,5091.8,2798.639,10261.677,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-00-07,24.50449158517264,87.17425687329998,"https://www.google.com/maps?q=24.504491585172637,87.17425687329998",90.968292157043,0.6677057187929768,0.1955885768999489,HEALTHY,GOOD_MOISTURE,IMPROVING,STABLE,0.0,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,91.0,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 91.0/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5091.0,5091.0,4808.284,17630.375,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-34-25,24.809917384671,87.35247336870118,"https://www.google.com/maps?q=24.809917384671,87.35247336870118",92.97431062088604,0.7053144505195647,0.2303138598971882,HEALTHY,GOOD_MOISTURE,IMPROVING,IMPROVING,0.4,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,90.8,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 90.8/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5090.8,5090.8,2925.201,10725.736,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-79-42,25.214157413397967,87.52078894767767,"https://www.google.com/maps?q=25.214157413397967,87.52078894767767",92.11108738969544,0.5925373884065644,0.1963021151149198,MODERATE,GOOD_MOISTURE,STABLE,IMPROVING,0.0,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,89.5,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 89.5/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5089.5,5089.5,2539.124,9310.121,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-80-43,25.22314052514709,87.53068986408834,"https://www.google.com/maps?q=25.223140525147095,87.53068986408834",99.3813062624729,0.6232887320022084,0.2355168370834292,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,0.0,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,89.5,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 89.5/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5089.5,5089.5,2640.118,9680.431,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
GD-40-30,24.863816055169043,87.4019779507565,"https://www.google.com/maps?q=24.863816055169043,87.4019779507565",86.32855363814251,0.677580906210621,0.2160695338179123,HEALTHY,GOOD_MOISTURE,STABLE,IMPROVING,0.0,0,False,0,LOW,ROUTINE_MONITORING,False,FRIS_CARBON_OPPORTUNITY_ENGINE_V2_2026,2026-06-04 01:02:25 IST,89.5,CARBON_RECOVERY_OPPORTUNITY,CARBON_RECOVERY_OPPORTUNITY,"CARBON_RECOVERY_OPPORTUNITY: score 89.5/100 because of high forest cover, strong vegetation health, good moisture condition, improving historical trend.",Prioritize for restoration/CSR carbon planning after field verification.,YES,Forest condition is improving. This grid may be useful for restoration/CSR carbon planning after field verification.,FIELD_VERIFICATION_REQUIRED_BEFORE_CSR_OR_MRV_USE,NO,No hard block found for planning-level screening.,5089.5,5089.5,11615.764,42591.135,0.0,100.0,NOT_A_CERTIFIED_CARBON_CREDIT__PLANNING_AND_MRV_SUPPORT_ONLY
